id,originalId,ExpCondition,date,time,attempts,mobile,referer,ip,device,os,browser,inviterId,barChart,polMap,svr,radar,suppTimer1,suppTimer2,suppTimer3,sex,age,education,province,interestInPolitics,voteIntention,voteReason,prevVote,forecastVote_m18to35noUni,forecastVote_m18to35Uni,forecastVote_f18to35noUni,forecastVote_f18to35Uni,forecastVote_m36to50noUni,forecastVote_m36to50Uni,forecastVote_f36to50noUni,forecastVote_f36to50Uni,forecastVote_m51to65noUni,forecastVote_m51to65Uni,forecastVote_f51to65noUni,forecastVote_f51to65Uni,forecastVote_mOver65noUni,forecastVote_mOver65Uni,forecastVote_fOver65noUni,forecastVote_fOver65Uni,usefulResult,placeTimer1,placeTimer2,placeTimer3,placeTimer4,LRplace_Self,placeLR_VVD,placeLR_PvdA,placeLR_PVV,placeLR_SP,placeLR_CDA,placeLR_D66,placeLR_GL,ProgConsplace_Self,placeProgCons_VVD,placeProgCons_PvdA,placeProgCons_PVV,placeProgCons_SP,placeProgCons_CDA,placeProgCons_D66,placeProgCons_GL,placeLeader_Rutte,placeLeader_Asscher,placeLeader_Roemer,placeLeader_Buma,placeLeader_Wilders,placeLeader_Pechtold,placeLeader_Klaver,PTV_VVD,PTV_PvdA,PTV_PVV,PTV_SP,PTV_CDA,PTV_D66,PTV_GL,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,totalTime
1,58b64deb6ea102843ca654c4,1,2017-03-01,04:28:27,1,0,http://www.stem-consult.nl/,5ab43cb95f07ccfd50173ca86ea2422d,Other 0.0.0,Windows 7 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,12.3,1.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.8,.5,1.1,.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.1,.6,.6,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.8,.7,.7,.8,1.2,.7,.7,.8,18.5
2,58b6577b6ea102843ca654c6,1,2017-03-01,05:09:15,1,0,http://www.stem-consult.nl/,737bffae0e74c7d735541fc47b421081,Other 0.0.0,Windows 7 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,1.8,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.3,.6,1.3,1.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.1,.6,.7,.7,.7,.7,.6,.7,.6,.6,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,17.5
3,58b6723b6ea102843ca654c8,1,2017-03-01,07:03:23,1,1,http://www.stem-consult.nl/,40b47da7f424151b679ddb75c12238e4,iPhone 0.0.0,iOS 10.1.1,Mobile Safari 10.0.0,-999,-999,-999,-999,-999,29.8,125.4,44.8,-998,43,6,7,4,9,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,16.8,10.9,9.1,9.6,-999,-999,5,6,5,5,5,5,6,6,2,7,2,7,3,7,6,1,7,2,6,2,1,6,2,2,5,2,6,3,4,2,2,3,3,5,3,1,2,3,4,5,4,3,2,1,5,1,5,1,2,4,5,1,5,2.4,.7,.8,.8,1.2,1.2,1.2,1.1,1,1.1,.9,1,1.1,1.1,.9,.9,1.2,1,1.6,1.7,1,1.3,1.2,1.2,1.2,28.8
4,58b678586ea102843ca654ca,1,2017-03-01,07:29:28,6,0,-999,40dd0b94fd05ca6ddfe9d68160c861e2,Other 0.0.0,Mac OS X 10.11.5,Chrome 56.0.2924,-999,-999,-999,-999,-999,1.8,2.1,44.6,-999,-999,-999,-999,-999,-999,-999,-999,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1.8,1.3,2.4,1.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,5,4,3,2,1,5,4,2.6,.9,.8,.8,.8,.7,.9,.7,.9,.8,.8,.7,.8,.9,.7,.7,.7,.8,1.1,.8,.8,.9,.8,1.2,.9,22.5
5,58b685806ea102843ca654cc,1,2017-03-01,08:25:36,1,0,http://www.stem-consult.nl/,40b47da7f424151b679ddb75c12238e4,Other 0.0.0,Mac OS X 10.11.5,Chrome 56.0.2924,-999,-999,-999,-999,-999,3.2,7.6,75.6,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,1.3,1.5,-999,-999,-999,6,-999,-999,7,-999,-999,-999,-999,7,-999,-999,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4,4,3,3,2,2,2,1,1,2,3,3,3,4,4,5,5,4,3,3,2,2,1,2,2,2,.6,.9,.7,.9,.7,.6,1,.9,.9,1.5,.6,.8,.9,.7,1.2,.7,1,1,.7,1,.7,1.2,1.6,.9,23.7
7,58b69a716ea102843ca654d1,1,2017-03-01,09:54:57,7,0,-999,ca1c453e3f021bf2da5f8e8ac8417571,Other 0.0.0,Linux 0.0.0,Chrome 47.0.2526,-999,-999,-999,-999,-999,6.6,7.6,69.5,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,-1,-998,6,1.9,7.8,12.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.3,.9,.9,.7,.6,.6,.7,.6,.6,.7,.6,.7,.6,.7,.6,.7,.6,.6,.7,.7,.7,.7,.7,.7,.7,19.6
8,58b6c37f6ea102843ca654d6,1,2017-03-01,12:50:07,8,0,-999,ca1c453e3f021bf2da5f8e8ac8417571,Other 0.0.0,Linux 0.0.0,Chrome 47.0.2526,-999,-999,-999,-999,-999,6.8,3.3,62.9,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-998,2.2,1.9,1.1,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3.5,.9,.8,.8,.8,.8,.8,.7,.8,.8,.8,.7,.7,.9,.9,.8,.8,.7,.7,.7,.7,.7,.7,.7,1,22.2
9,58b6c7a96ea102843ca654d8,1,2017-03-01,13:07:53,1,0,http://www.stem-consult.nl/,12131ea414a9ee1942763b4c3101d114,Other 0.0.0,Linux 0.0.0,Chrome 47.0.2526,-999,-999,-999,-999,-999,2.7,2.8,49.3,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-998,2.4,1.4,1.1,1.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.6,.8,.9,.6,1.2,.7,.6,1.1,.7,.6,.7,.6,1.1,.8,.7,.6,1.2,.9,.7,.8,.7,.6,.6,.6,.9,21.3
10,58b6d6d000bc60fb2fd1eccb,1,2017-03-01,14:12:32,1,0,http://www.stem-consult.nl/,f7c0108490863aeb9ac8ef4436483306,Other 0.0.0,Windows 7 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,1.2,1.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,.7,.7,1.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.1,.6,.6,.6,.7,.7,.7,.6,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.8,.6,.7,.6,.7,17.4
11,58b6d7c000bc60fb2fd1ecd0,1,2017-03-01,14:16:32,2,0,http://www.stem-consult.nl/,011df6ae98a061902b18ea97960274aa,Other 0.0.0,Windows 7 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,.9,1.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,1,.7,.5,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.1,.6,.7,.7,.7,.7,.8,.7,.7,.7,.7,.7,.7,.8,.7,.7,.8,.7,.7,.7,.7,.6,.7,.6,.7,17.9
